word,countAll
PLANT,19053
ARABIDOPSIS,11999
GENE,11774
PROTEIN,7926
CELL,7157
EXPRESSION,6259
STRESS,6236
RESPONSE,5998
GROWTH,5247
DEVELOPMENT,4747
ROLE,4502
ROOT,4467
FACTOR,4450
THALIANA,4072
ANALYSIS,3785
FUNCTION,3701
TRANSCRIPTION,3586
MUTANT,3114
MECHANISM,3030
ACID,2943
STUDY,2702
REGULATION,2625
SEED,2568
PATHWAY,2410
FAMILY,2373
RNA,2327
SPECIE,2232
TOLERANCE,2161
LEVEL,2154
RESULT,2122
GENOME,2033
INTERACTION,2005
DNA,1986
ABA,1977
AUXIN,1957
ACTIVITY,1953
A,1948
TYPE,1922
PROCESS,1910
RESISTANCE,1896
BIOSYNTHESIS,1869
DOMAIN,1584
SYSTEM,1555
RECEPTOR,1545
EFFECT,1512
ACCUMULATION,1504
CONDITION,1479
CROP,1451
MEMBRANE,1436
TISSUE,1390
MODEL,1377
CHANGE,1340
REGULATOR,1335
FORMATION,1326
KINASE,1315
STUDIES,1264
DATA,1243
NETWORK,1209
PROMOTER,1208
TIME,1189
LIGHT,1180
PATHOGEN,1171
OVEREXPRESSION,1168
TEMPERATURE,1165
STRUCTURE,1150
WALL,1139
COMPLEX,1120
RICE,1113
METABOLISM,1103
SALT,1089
DROUGHT,1084
LINE,1081
B,1050
IDENTIFICATION,1042
CHLOROPLAST,1031
TRANSPORT,1028
DEFENSE,1028
PATTERN,1022
TARGET,1022
METHOD,1017
STRESSES,1011
PHENOTYPE,1009
IMMUNITY,1008
LEAF,1007
HEAT,1006
CONTROL,994
PRODUCTION,991
COMPONENT,977
C,970
GERMINATION,967
ENZYME,946
SEQUENCE,946
N,938
SITE,928
POLLEN,912
MUTATION,905
DEGRADATION,902
SIGNAL,894
TRAIT,884
HORMONE,879
REGION,876
LEAVE,861
TRANSPORTER,856
RO,854
FLOWERING,847
BINDING,841
TREATMENT,837
METHYLATION,831
CONTENT,826
LOSS,824
ELEMENT,793
NUMBER,782
MEMBER,775
ACTIVATION,774
SENESCENCE,763
SYNTHESIS,758
APPROACH,752
ADDITION,750
SIGNALING,736
MODIFICATION,736
HOMEOSTASIS,733
CHARACTERIZATION,731
HISTONE,728
EVOLUTION,724
L,715
FINDING,711
ELONGATION,710
MERISTEM,710
FRUIT,705
ANALYSES,699
STAGE,682
HOST,678
P,676
SA,674
YIELD,674
CHROMATIN,669
INFECTION,668
VARIATION,667
ENVIRONMENT,664
DISEASE,648
S,644
BR,640
SEEDLING,637
SHOOT,635
SIZE,634
WATER,634
OXYGEN,633
PHOSPHORYLATION,633
WHEAT,630
SOIL,626
GROUP,619
TRANSCRIPT,616
STEM,614
JA,608
COTTON,606
CO,605
DEFICIENCY,602
RATE,600
INSIGHT,592
TF,588
CYCLE,587
BOX,585
DIVISION,580
TOMATO,576
H,568
TRANSCRIPTOME,568
LOCALIZATION,567
MYB,565
%,565
ASSAY,565
FE,561
MOTIF,560
SYNTHASE,556
II,552
FURTHERMORE,548
RESEARCH,543
PHOTOSYNTHESIS,540
EVIDENCE,534
CLOCK,524
ETHYLENE,523
ORGAN,512
GA,512
HOMOLOG,511
UNDERSTANDING,511
DYNAMIC,511
MIRNA,510
EFFECTOR,509
PHOSPHATE,506
SUBUNIT,505
PLASMA,505
APPLICATION,504
CYTOKININ,497
ADAPTATION,495
ASSOCIATION,491
SEQ,490
VIRUS,489
CHROMOSOME,487
ORGANISM,484
PEPTIDE,484
DEPENDENT,483
G,482
METABOLITE,471
TRANSITION,470
MOLECULE,470
PI,469
INDUCTION,468
IRON,465
PHYTOHORMONE,465
TOOL,463
AMINO,463
ARCHITECTURE,460
INFORMATION,460
INHIBITION,460
YEAST,457
SOYBEAN,455
WORK,454
FLOWER,450
MRNA,449
CLASS,449
SUGAR,443
DEATH,440
MODULE,439
NITROGEN,438
POPULATION,437
DISTRIBUTION,435
MAIZE,435
EVENT,428
LENGTH,424
INCREASE,421
COMPOUND,419
PHASE,418
DAMAGE,410
REPEAT,410
POST,408
ER,407
CANDIDATE,406
STEP,404
DAY,404
DIFFERENTIATION,397
BIOLOGY,392
BRASSICA,387
INITIATION,382
QUALITY,381
GENETIC,380
CALCIUM,379
M,379
BRASSINOSTEROID,378
RELATIONSHIP,376
DEFECT,376
CD,375
FEATURE,375
ACTIVITIES,374
STABILITY,373
UV,373
EFFICIENCY,372
EMBRYO,372
METAL,369
HAIR,366
SALINITY,363
IMPACT,361
WT,360
BACTERIA,360
LOCUS,359
CHANNEL,358
RANGE,357
T,357
STARCH,357
EXPERIMENT,357
SENSITIVITY,356
NAC,356
LIGASE,356
CONCENTRATION,355
INHIBITOR,354
PROFILE,354
DOWNSTREAM,353
SUBSTRATE,352
BASIS,351
REVIEW,350
USE,349
E3,348
D,346
ENERGY,345
CHAIN,345
MA,345
PROPERTIES,342
NON,342
KNOWLEDGE,340
ABILITY,339
DIFFERENCE,337
MITOCHONDRIA,334
UPTAKE,328
FORM,326
CARBON,325
JASMONATE,324
MANNER,324
CONTRAST,322
OIL,322
VARIANT,321
F,321
PART,319
DUPLICATION,319
STATE,318
CORE,317
IMPORTANCE,317
HYPOCOTYL,316
TUBE,316
CU,316
PROTOCOL,316
ABUNDANCE,313
SELECTION,312
REVEAL,311
EXPANSION,310
PCR,309
REACTION,308
GENERATION,308
ANIMAL,308
FLUORESCENCE,307
MARKER,307
SET,306
PRESENCE,305
MICROTUBULE,303
MOVEMENT,302
LOOP,301
BIOGENESIS,301
ASSEMBLY,301
REGENERATION,300
ZINC,299
DIVERSITY,299
AUTOPHAGY,298
STARVATION,296
NUCLEUS,292
RESIDUE,292
ANTHOCYANIN,292
CI,291
NUTRIENT,290
PREDICTION,286
SOURCE,286
IAA,286
PLASTID,286
REPRESSOR,285
ION,285
BREEDING,285
FIELD,285
IMMUNE,283
ACTION,282
ELECTRON,280
TRANSLATION,280
EUKARYOTE,280
TOBACCO,278
ACCLIMATION,278
PHYTOCHROME,277
MICROSCOPY,275
R,274
CA,274
PSEUDOMONAS,273
REDUCTION,273
CHEMICAL,272
ALLELE,272
TAKEN,272
SEQUENCING,271
FAMILIES,270
TRANSDUCTION,270
RECOGNITION,268
SURFACE,268
SHAPE,267
RESOURCE,267
MAINTENANCE,266
VITRO,266
ORGANIZATION,265
DEFICIENT,264
LIFE,263
CLOSURE,263
TERMINAL,262
FUNCTIONAL,262
APPLE,262
GRAIN,261
SPECIFICITY,260
COMPOSITION,259
NLR,259
RESOLUTION,258
MICROBE,258
E,257
PRECURSOR,257
Β,257
SPLICING,256
OXIDASE,256
CHLOROPHYLL,256
ACCESSION,256
REPRESSION,255
EMBRYOGENESIS,253
STRAIN,252
SILENCING,252
ATP,252
AL,252
SHOCK,251
SPECTROMETRY,249
TRAFFICKING,247
O,247
DORMANCY,247
XYLEM,247
ENGINEERING,247
HY5,244
STRATEGY,244
RETICULUM,243
WRKY,243
PM,243
REPAIR,243
INVOLVEMENT,242
V,242
TRICHOME,242
NICOTIANA,241
POTENTIAL,241
LIGNIN,241
PRODUCT,241
SATIVA,240
PHOSPHATASE,239
WIDE,239
TRANSFORMATION,238
STRATEGIES,237
PIN,237
EXPOSURE,235
PHENOTYPIC,234
PERCEPTION,234
YEAR,234
KNOCKOUT,233
TERM,232
GUARD,232
NITRATE,232
LOCI,231
LIKE,229
RECOMBINATION,229
DEPOSITION,227
ZN,227
CAPACITY,226
MADS,226
DEFENCE,225
ASPECT,225
LIPID,225
TRANSFER,224
VIVO,224
GENOMIC,224
COMBINATION,223
FINGER,223
BIOMASS,222
PROFILING,222
ORYZA,221
LINEAGE,221
INTERACTING,220
TOXICITY,220
FERTILITY,219
FURTHER,219
DE,219
PROTEOMIC,219
CHALLENGE,218
IMAGING,218
COMPARISON,217
MOLECULAR,217
SIGNALLING,217
QTL,216
UBIQUITINATION,215
REGULATE,215
ESTABLISHMENT,214
LAND,214
PROLIFERATION,214
MEIOSIS,214
TREE,214
PHOTOMORPHOGENESIS,214
COLD,213
SUSCEPTIBILITY,212
AMOUNT,212
CULTURE,212
TRANSGENIC,211
REDOX,211
III,210
SURVIVAL,210
MICRORNA,210
VARIETY,210
TIP,210
GIBBERELLIN,209
HELIX,209
MORPHOLOGY,208
USING,208
ABSENCE,208
REPRODUCTION,208
POTATO,208
END,208
POLYMERASE,207
OF,207
STORAGE,207
CLUSTER,207
GLUTATHIONE,206
SUPPRESSOR,206
GENOTYPE,206
ORDER,203
MATURATION,203
FUSION,203
IMPROVEMENT,203
K,202
TRANSCRIPTOMIC,202
CHARACTERISTIC,202
INTERACT,201
SL,200
TOTAL,200
REDUCTASE,200
PHOTOSYSTEM,200
COMPLEMENTATION,199
VESICLE,199
CRISPR/CAS9,199
PERFORMANCE,199
PIF4,199
PROCESSING,199
AVAILABILITY,197
GFP,197
PHOTORECEPTOR,197
ISOLATION,197
NOVO,196
ORTHOLOG,196
COTYLEDON,195
MORPHOGENESIS,194
ORGANELLE,194
ABIOTIC,193
ACT,193
TE,193
REPORTER,192
FOOD,192
GOLGI,191
BIOINFORMATIC,191
CRISPR,190
TECHNIQUE,190
DEVELOPMENTAL,189
INVESTIGATION,189
SAMPLE,189
STATUS,188
DETECTION,187
THEREFORE,187
ABSCISIC,187
MALE,186
COP1,186
PROTEASE,186
CROSSTALK,185
RELATED,185
SCALE,185
REPORT,184
LEUCINE,184
POSITION,184
ABI5,184
REPLICATION,183
MACHINERY,183
PRODUCTIVITY,183
INFLUENCE,183
PLASTICITY,183
GLUCOSINOLATE,183
BENTHAMIANA,182
OVULE,182
LAYER,182
BASE,181
R2R3,181
INFLORESCENCE,181
GWA,181
COA,181
DATASET,181
HYDROGEN,180
EXAMPLE,180
POINT,180
PAIR,179
MAPPING,179
SYRINGAE,179
QUESTION,178
BALANCE,178
CROSS,178
PA,178
COL,177
VALUE,177
TOR,177
MAP,176
SUPPRESSION,176
PECTIN,176
DATE,176
WAY,175
SUMO,175
NO,174
MODULATION,174
PHLOEM,174
PROMOTE,174
AFFINITY,173
POLARITY,173
BHLH,173
HYBRID,172
HIGH,172
FEEDBACK,171
NOVEL,170
CONTEXT,170
DENSITY,170
INTEGRITY,169
FLAVONOID,169
CHAPERONE,169
ENDOSPERM,169
ANGIOSPERM,169
CYSTEINE,168
